Tag,Source Packages,Item,Category,Item Strain,Quantity,Batch Number,Lab Testing,<abbr title='Administrative Hold'>A.H.</abbr>,<abbr title='Packaged Date'>Date</abbr>,<abbr title='Received'>Rcv'd</abbr>
1A4060300003E84000001295,1A4060300003E84000001175,Thin Mint X Wautomelon Live Resin 1G,Other Concentrate (weight - each),,0,SPK000002,NotSubmitted,,,
1A4060300004719000000601,1A4060300004719000000268,Bulk Oil CO2 1st Pass,Extract (weight),,0,191217-FCLR,NotSubmitted,,,
1A4060300004719000000599,1A4060300004719000000598,Bulk Oil CO2 2nd Pass,Extract (weight),,0,191220-SCLR,NotSubmitted,,,
1A4060300004719000000598,1A4060300004719000000274,Bulk Oil CO2 1st Pass,Extract (weight),,0,191220-FCLR,NotSubmitted,,,
1A4060300004719000000596,1A4060300004719000000594,Bulk Oil CO2 2nd Pass,Extract (weight),,0,2001008-SCLR,NotSubmitted,,,
1A4060300004719000000597,"1A4060300004719000000588, 1A4060300004719000000596",Bulk Oil CO2 2nd Pass,Extract (weight),,0,201016-BLK-SCLR,NotSubmitted,,,
1A4060300004719000000593,"1A4060300004719000000061, 1A4060300004719000000065",Bulk Oil CO2 Reclaim,Extract (weight),,0,201006-RCLM,NotSubmitted,,,
1A4060300004719000000594,"1A4060300004719000000061, 1A4060300004719000000065",Bulk Oil CO2 1st Pass,Extract (weight),,0,201008-FCLR,NotSubmitted,,,
1A4060300004719000000588,1A4060300004719000000582,Bulk Oil CO2 2nd Pass,Extract (weight),,0,200925-SCLR,NotSubmitted,,,
1A4060300004719000000589,"1A4060300004719000000581, 1A4060300004719000000582",Bulk Oil CO2 Reclaim,Extract (weight),,0,200828-RCLM,NotSubmitted,,,
1A4060300004719000000581,"1A4060300004719000000030, 1A4060300004719000000063, 1A4060300004719000000579",Bulk Oil CO2 Reclaim,Extract (weight),,0,200828-RCLM,NotSubmitted,,,
1A4060300004719000000582,"1A4060300004719000000030, 1A4060300004719000000063",Bulk Oil CO2 1st Pass,Extract (weight),,0,200925-FCLR,NotSubmitted,,,
1A4060300004719000000575,1A4060300004719000000568,Bulk Oil CO2 2nd Pass,Extract (weight),,0,200914-SCLR,NotSubmitted,,,
1A4060300004719000000579,"1A4060300004719000000557, 1A4060300004719000000572, 1A4060300004719000000575, 1A4060300004719000000576",Bulk Oil CO2 Reclaim,Extract (weight),,0,200828-RCLM,NotSubmitted,,,
1A4060300004719000000574,1A4060300004719000000513,Bulk Oil Ethanol Solution,Extract (weight),,0,051019-FCLR,NotSubmitted,,,
1A4060300004719000000568,"1A4060300004719000000020, 1A4060300004719000000021",Bulk Oil CO2 1st Pass,Extract (weight),,0,200914-FCLR,NotSubmitted,,,
1A4060300004719000000572,"1A4060300004719000000566, 1A4060300004719000000568",Bulk Oil CO2 Reclaim,Extract (weight),,0,200828-RCLM,NotSubmitted,,,
1A4060300003B65000002066,1A4060300003B65000000017,edible- Watermelon,Edible (weight),,0,Gummies for SPARC,NotSubmitted,,,
1A4060300003B65000002067,1A4060300003B65000000017,edibles- Mango,Edible (weight),,0,Gummies for SPARC,NotSubmitted,,,
1A4060300003B65000002068,1A4060300003B65000000017,Edibles-Sparc-Vegan-Strawberry Kiwi,Edible (weight),,0,Gummies for SPARC,NotSubmitted,,,
1A4060300004719000000566,"1A4060300004719000000020, 1A4060300004719000000021, 1A4060300004719000000558",Bulk Oil CO2 Reclaim,Extract (weight),,0,200828-RCLM,NotSubmitted,,,
1A4060300004719000000561,1A4060300004719000000548,Kief GG10,Kief,GG10,0,200804-GG10,NotSubmitted,,,
1A4060300004719000000557,1A4060300004719000000522,Bulk Oil CO2 2nd Pass,Extract (weight),,0,200214-SCLR,NotSubmitted,,,
1A4060300004719000000558,"1A4060300004719000000522, 1A4060300004719000000544",Bulk Oil CO2 Reclaim,Extract (weight),,0,200828-RCLM,NotSubmitted,,,
1A4060300004719000000548,"1A406030000200A000003430, 1A4060300004719000000541",Kief GG10,Kief,GG10,0,200804-GG10,NotSubmitted,,,
1A4060300004719000000549,1A406030000584D000004405,Bulk Oil CO2 Winterization,Extract (weight),,0,200908-CBD-WIN,NotSubmitted,,,
1A406030000584D000004405,"1A4060300004719000000353, 1A406030000559D000000389, 1A406030000584D000002965, 1A406030000584D000002982, 1A406030000584D000003043, 1A406030000584D000003277, 1A406030000584D000003801, 1A406030000584D000003916",MG Oil Applicator 1g CBD 20:1,Extract (weight - each),,0,,TestPassed,,,
1A4060300003B65000002175,1A4060300003B65000000015,edibles- Mango,Edible (weight),,0,edible R&D,NotSubmitted,,,
1A4060300003B65000002176,1A4060300003B65000000015,Edibles-Vegan- Strawberry kiwi,Edible (weight),,0,edible R&D,NotSubmitted,,,
1A4060300003B65000002177,1A4060300003B65000000015,edible- Watermelon,Edible (weight),,0,edible R&D,NotSubmitted,,,
1A4060300004719000000541,"1A406030000200A000003430, 1A4060300004719000000537",Kief GG10,Kief,GG10,0,200804-GG10,NotSubmitted,,,
1A4060300004719000000544,"1A4060300004719000000145, 1A4060300004719000000521",Bulk Oil CO2 Reclaim,Extract (weight),,0,200828-RCLM,NotSubmitted,,,
1A406030000584D000004336,1A4060300009859000000454,Shake Blueberry Haze,Shake,,0,,TestPassed,,,
1A4060300004719000000537,"1A406030000200A000003430, 1A4060300004719000000534",Kief GG10,Kief,GG10,0,200804-GG10,NotSubmitted,,,
1A4060300004719000000533,"1A4060300004719000000530, 1A4060300009859000000457",Bulk Bubble Hash Frosted Melon,Extract (weight),,0,200811-WHASH,NotSubmitted,,,
1A4060300004719000000534,"1A406030000200A000003430, 1A4060300004719000000527",Kief GG10,Kief,GG10,0,200804-GG10,NotSubmitted,,,
1A406030000584D000004223,1A4060300009859000000238,Shake Granola Funk,Shake,,0,,TestPassed,,,
1A4060300004719000000527,"1A406030000200A000003427, 1A406030000200A000003430, 1A406030000584D000004123",Kief GG10,Kief,GG10,0,200804-GG10,NotSubmitted,,,
1A4060300004719000000530,1A4060300009859000000457,Bulk Bubble Hash Strainbow,Extract (weight),,0,,NotSubmitted,,,
1A4060300003B65000001961,1A4060300003B65000000107,Edibles-Vegan- Strawberry kiwi,Edible (weight),,0,R&D Edible samples,NotSubmitted,,,
